P. Name,P. Mass Class,P. Habitable Class,P. Min Mass (EU),P. Density (EU),Min Mass,Min Mass 3,X
1SWASP J1407 b,Jovian,non-habitable,6358.8,4.86,1,12717.6,1
2M 0103-55(AB) b,Jovian,non-habitable,4133.22,2.79,1,8266.44,1
2M 0441+23 b,Jovian,non-habitable,2384.55,1.5,1,4769.1,1
2M 1207-39 b,Jovian,non-habitable,1271.76,0.8,1,2543.52,0
2M 1938+46 b,Jovian,non-habitable,604.09,0.43,0,1208.18,0
2M 2236+4751 b,Jovian,non-habitable,3974.25,2.66,1,7948.5,1
2MASS J1450-7841 Ab,Jovian,non-habitable,12717.6,13.73,1,25435.2,1
2MASS J1450-7841 Bb,Jovian,non-habitable,12717.6,13.73,1,25435.2,1
2MASS J2250+2325 b,Jovian,non-habitable,9538.2,8.73,1,19076.4,1
2MASS J11193254 AB b,Jovian,non-habitable,1176.38,0.75,1,2352.76,0
2M J2126-81 b,Jovian,non-habitable,4228.6,2.87,1,8457.2,1
4 Uma b,Jovian,non-habitable,2257.37,1.42,1,4514.74,1
7 CMa b,Jovian,non-habitable,782.13,0.52,0,1564.26,0
8 Umi b,Jovian,non-habitable,476.91,0.37,0,953.82,0
11 Com b,Jovian,non-habitable,6168.04,4.66,1,12336.08,1
11 Oph b,Jovian,non-habitable,6676.74,5.19,1,13353.48,1
11 UMi b,Jovian,non-habitable,3338.37,2.17,1,6676.74,1
14 And b,Jovian,non-habitable,1694.62,1.06,1,3389.24,1
14 Her b,Jovian,non-habitable,1475.24,0.93,1,2950.48,0
16 Cyg B b,Jovian,non-habitable,534.14,0.39,0,1068.28,0
18 Del b,Jovian,non-habitable,3274.78,2.12,1,6549.56,1
24 Boo b,Jovian,non-habitable,289.33,0.28,0,578.66,0
24 Sex b,Jovian,non-habitable,632.7,0.44,0,1265.4,0
24 Sex c,Jovian,non-habitable,273.43,0.27,0,546.86,0
30 Ari B b,Jovian,non-habitable,3141.25,2.03,1,6282.5,1
38 Vir b,Jovian,non-habitable,1433.91,0.9,1,2867.82,0
42 Dra b,Jovian,non-habitable,1233.61,0.78,1,2467.22,0
47 Uma b,Jovian,non-habitable,804.39,0.53,0,1608.78,0
47 Uma c,Jovian,non-habitable,171.69,0.23,0,343.38,0
47 Uma d,Jovian,non-habitable,521.42,0.39,0,1042.84,0
51 Eri b,Jovian,non-habitable,1928.45,1.51,1,3856.9,1
55 Cnc b,Jovian,non-habitable,267.07,0.27,0,534.14,0
55 Cnc c,Jovian,non-habitable,56.72,0.2,0,113.44,0
55 Cnc d,Jovian,non-habitable,1227.25,0.78,1,2454.5,0
55 Cnc f,Neptunian,non-habitable,47.02,0.2,0,94.04,0
61 Vir b,Superterran,non-habitable,5.09,1.1,0,10.18,0
61 Vir c,Neptunian,non-habitable,18.22,0.2,0,36.44,0
61 Vir d,Neptunian,non-habitable,22.89,0.2,0,45.78,0
70 Vir b,Jovian,non-habitable,2098.4,1.32,1,4196.8,1
75 Cet b,Jovian,non-habitable,953.82,0.62,0,1907.64,0
81 Cet b,Jovian,non-habitable,1685.08,1.06,1,3370.16,1
91 Aqr b,Jovian,non-habitable,1017.41,0.65,1,2034.82,0
AB Pic b,Jovian,non-habitable,4292.19,2.92,1,8584.38,1
Aldebaran b,Jovian,non-habitable,2057.07,1.29,1,4114.14,1
alf Ari b,Jovian,non-habitable,572.29,0.41,0,1144.58,0
alf Cen B b,Terran,non-habitable,1.14,0.89,0,2.28,0
AS 205 A b,Jovian,non-habitable,6120.35,4.61,1,12240.7,1
BD+03 2562 b,Jovian,non-habitable,2034.82,1.28,1,4069.64,1
BD+14 4559 b,Jovian,non-habitable,467.37,0.36,0,934.74,0
BD+15 2375 b,Jovian,non-habitable,337.02,0.3,0,674.04,0
BD+15 2940 b,Jovian,non-habitable,352.91,0.31,0,705.82,0
BD+20 274 c,Jovian,non-habitable,1335.35,0.84,1,2670.7,0
BD+20 594 b,Superterran,non-habitable,11.77,1.47,0,23.54,0
BD+20 1790 b,Jovian,non-habitable,2025.28,1.27,1,4050.56,1
BD+20 2457 b,Jovian,non-habitable,6810.27,5.34,1,13620.54,1
BD+20 2457 c,Jovian,non-habitable,3964.71,2.65,1,7929.42,1
BD+24 4697 b,Jovian,non-habitable,16850.82,21.97,1,33701.64,1
BD+26 1888 b,Jovian,non-habitable,8266.44,7.05,1,16532.88,1
BD+48 738 b,Jovian,non-habitable,289.33,0.28,0,578.66,0
BD+49 828 b,Jovian,non-habitable,508.7,0.38,0,1017.4,0
BD-06 1339 b,Superterran,non-habitable,8.58,1.23,0,17.16,0
BD-06 1339 c,Jovian,non-habitable,54.05,0.2,0,108.1,0
BD-06 1339 d,Neptunian,non-habitable,28.93,0.2,0,57.86,0
BD-08 2823 b,Neptunian,non-habitable,14.31,0.2,0,28.62,0
BD-08 2823 c,Jovian,non-habitable,104.92,0.21,0,209.84,0
BD-10 3166 b,Jovian,non-habitable,102.14,0.1,0,204.28,0
BD-11 4672 b,Jovian,non-habitable,168.51,0.23,0,337.02,0
BD-17 63 b,Jovian,non-habitable,1621.49,1.02,1,3242.98,1
beta Cir b,Jovian,non-habitable,17804.64,24.16,1,35609.28,1
beta Cnc b,Jovian,non-habitable,2479.93,1.57,1,4959.86,1
beta Umi b,Jovian,non-habitable,1939.43,1.22,1,3878.86,1
CD-35 2722 b,Jovian,non-habitable,9856.14,9.18,1,19712.28,1
CFBDS 1458 b,Jovian,non-habitable,3338.37,2.17,1,6676.74,1
CFBDSIR J2149-0403 b,Jovian,non-habitable,6676.74,5.19,1,13353.48,1
CHXR 73 b,Jovian,non-habitable,3815.28,2.53,1,7630.56,1
CI Tau b,Jovian,non-habitable,3913.84,2.61,1,7827.68,1
CoRoT-7 b,Terran,non-habitable,0.17,1.34,0,0.34,0
CoRoT-7 c,Neptunian,non-habitable,13.56,0.2,0,27.12,0
CoRoT-25 b,Jovian,non-habitable,57.44,0.05,0,114.88,0
CoRoT-26 b,Jovian,non-habitable,162.82,0.06,0,325.64,0
CoRoT-27 b,Jovian,non-habitable,3303.36,2.3,1,6606.72,1
CoRoT-30 b,Jovian,non-habitable,902.93,0.61,0,1805.86,0
DE0823-49 b,Jovian,non-habitable,10015.11,9.4,1,20030.22,1
DH Tau b,Jovian,non-habitable,3497.34,2.29,1,6994.68,1
DP Leo b,Jovian,non-habitable,1923.54,1.21,1,3847.08,1
DW Lyn b,Jovian,non-habitable,1774.11,1.11,1,3548.22,1
DW Uma b,Jovian,non-habitable,3198.48,2.07,1,6396.96,1
EPIC 246911830 b,Jovian,non-habitable,451.46,0.09,0,902.92,0
eps CrB b,Jovian,non-habitable,2130.2,1.34,1,4260.4,1
eps Eridani b,Jovian,non-habitable,982.43,0.63,0,1964.86,0
eps Ind A b,Jovian,non-habitable,861.62,0.57,0,1723.24,0
eps Tau b,Jovian,non-habitable,2333.68,1.47,1,4667.36,1
eta Cet b,Jovian,non-habitable,810.75,0.54,0,1621.5,0
eta Cet c,Jovian,non-habitable,1055.56,0.68,1,2111.12,0
FL Lyr b,Jovian,non-habitable,2861.46,1.83,1,5722.92,1
Fomalhaut b,Jovian,non-habitable,953.82,0.62,0,1907.64,0
FU Tau b,Jovian,non-habitable,4769.1,3.33,1,9538.2,1
FW Tau b,Jovian,non-habitable,3179.4,2.05,1,6358.8,1
gamma Cephei b,Jovian,non-habitable,3525.95,2.31,1,7051.9,1
gamma Lib b,Jovian,non-habitable,327.16,0.3,0,654.32,0
gamma Lib c,Jovian,non-habitable,1472.06,0.92,1,2944.12,0
GJ 15A b,Terran,non-habitable,3.03,1.01,0,6.06,0
GJ 27.1 b,Neptunian,non-habitable,13.0,0.2,0,26.0,0
GJ 86 A b,Jovian,non-habitable,1274.94,0.8,1,2549.88,0
GJ 160.2 b,Neptunian,non-habitable,10.2,0.2,0,20.4,0
GJ 163 b,Neptunian,non-habitable,10.62,0.2,0,21.24,0
GJ 163 c,Superterran,psychroplanet,7.26,1.19,0,14.52,0
GJ 163 d,Neptunian,non-habitable,22.08,0.2,0,44.16,0
GJ 176 b,Superterran,non-habitable,8.43,1.23,0,16.86,0
GJ 179 b,Jovian,non-habitable,260.71,0.27,0,521.42,0
GJ 180 b,Superterran,mesoplanet,8.3,1.22,0,16.6,0
GJ 180 c,Superterran,mesoplanet,6.4,1.16,0,12.8,0
GJ 229 A b,Neptunian,non-habitable,32.01,0.2,0,64.02,0
GJ 229 Bb,Jovian,non-habitable,11127.9,11.08,1,22255.8,1
GJ 273 b,Terran,mesoplanet,2.89,1.0,0,5.78,0
GJ 273 c,Terran,non-habitable,1.18,0.9,0,2.36,0
GJ 317 b,Jovian,non-habitable,813.93,0.54,0,1627.86,0
GJ 317 c,Jovian,non-habitable,635.88,0.45,0,1271.76,0
GJ 328 b,Jovian,non-habitable,731.26,0.5,0,1462.52,0
GJ 422 b,Superterran,mesoplanet,9.9,1.28,0,19.8,0
GJ 433 b,Superterran,non-habitable,5.3,1.11,0,10.6,0
GJ 433 c,Neptunian,non-habitable,44.51,0.2,0,89.02,0
GJ 536 b,Superterran,non-habitable,5.37,1.12,0,10.74,0
